"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","item_name"
"","","","","","html-keyboard-response","113","354438","0.0-15.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","114","355694","0.0-15.0-1.1","null","img/kz.png","null","study_pic","KAZAKHSTAN"
"","","","","","html-button-response","115","356292","0.0-15.0-2.1","597","<div style=""font-size:72px;"">
        <p>KAZAKHSTAN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","116","356794","0.0-15.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","117","358059","0.0-15.0-1.2","null","img/bz.png","null","study_pic","BELIZE"
"","","","","","html-button-response","118","358612","0.0-15.0-2.2","552","<div style=""font-size:72px;"">
        <p>BELIZE</p>
        </div>","0","",""
"","","","","","html-keyboard-response","119","359122","0.0-15.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","120","360375","0.0-15.0-1.3","null","img/by.png","null","study_pic","BELARUS"
"","","","","","html-button-response","121","361068","0.0-15.0-2.3","692","<div style=""font-size:72px;"">
        <p>BELARUS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","122","361570","0.0-15.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","123","362833","0.0-15.0-1.4","null","img/nl.png","null","study_pic","NETHERLANDS"
"","","","","","html-button-response","124","363588","0.0-15.0-2.4","753","<div style=""font-size:72px;"">
        <p>NETHERLANDS</p>
        </div>","0","",""
"","","","","","html-button-response","125","364556","0.0-16.0","967","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","126","365066","0.0-17.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","127","366325","0.0-17.0-1.0","null","img/rw.png","null","study_pic","RWANDA"
"","","","","","html-button-response","128","366948","0.0-17.0-2.0","622","<div style=""font-size:72px;"">
        <p>RWANDA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","129","367457","0.0-17.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","130","368717","0.0-17.0-1.1","null","img/sk.png","null","study_pic","SLOVAKIA"
"","","","","","html-button-response","131","369318","0.0-17.0-2.1","599","<div style=""font-size:72px;"">
        <p>SLOVAKIA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","132","369827","0.0-17.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","133","371087","0.0-17.0-1.2","null","img/ch.png","null","study_pic","SWITZERLAND"
"","","","","","html-button-response","134","372765","0.0-17.0-2.2","1675","<div style=""font-size:72px;"">
        <p>SWITZERLAND</p>
        </div>","0","",""
"","","","","","html-keyboard-response","135","373273","0.0-17.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","136","374540","0.0-17.0-1.3","null","img/pk.png","null","study_pic","PAKISTAN"
"","","","","","html-button-response","137","375276","0.0-17.0-2.3","735","<div style=""font-size:72px;"">
        <p>PAKISTAN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","138","375799","0.0-17.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","139","377056","0.0-17.0-1.4","null","img/do.png","null","study_pic","DOMINICAN REPUBLIC"
"","","","","","html-button-response","140","377844","0.0-17.0-2.4","787","<div style=""font-size:72px;"">
        <p>DOMINICAN REPUBLIC</p>
        </div>","0","",""
"","","","","","html-button-response","141","378949","0.0-18.0","1103","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","142","379451","0.0-19.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","143","380715","0.0-19.0-1.0","null","img/mh.png","null","study_pic","MARSHALL ISLANDS"
"","","","","","html-button-response","144","381613","0.0-19.0-2.0","895","<div style=""font-size:72px;"">
        <p>MARSHALL ISLANDS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","145","382115","0.0-19.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","146","383378","0.0-19.0-1.1","null","img/kw.png","null","study_pic","KUWAIT"
"","","","","","html-button-response","147","385333","0.0-19.0-2.1","1953","<div style=""font-size:72px;"">
        <p>KUWAIT</p>
        </div>","0","",""
"","","","","","html-keyboard-response","148","385846","0.0-19.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","149","387112","0.0-19.0-1.2","null","img/la.png","null","study_pic","LAOS"
"","","","","","html-button-response","150","387788","0.0-19.0-2.2","675","<div style=""font-size:72px;"">
        <p>LAOS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","151","388302","0.0-19.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","152","389559","0.0-19.0-1.3","null","img/li.png","null","study_pic","LIECHTENSTEIN"
"","","","","","html-button-response","153","390372","0.0-19.0-2.3","812","<div style=""font-size:72px;"">
        <p>LIECHTENSTEIN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","154","390878","0.0-19.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
